scenario,N,net,t0,method,sigma,time,wait,stops,lefts,rights,links,away
base_N8,8,5,15.0,SP-FF,,1243.796604831678,415.9269015189221,7,6,5,14,
base_N8,8,5,15.0,SP-STATIC,,1243.796604831678,415.9269015189221,7,6,5,14,
base_N8,8,5,15.0,GREEDY,,1123.7966048316782,207.9005395943334,5,2,2,14,
base_N8,8,5,15.0,TD-OPT,,996.8984140895035,105.34186271753305,5,2,3,14,0
base_N8,8,5,30.0,SP-FF,,1228.796604831678,400.9269015189221,7,6,5,14,
base_N8,8,5,30.0,SP-STATIC,,1228.796604831678,400.9269015189221,7,6,5,14,
base_N8,8,5,30.0,GREEDY,,1088.7966048316782,165.79654261419938,4,3,3,14,
base_N8,8,5,30.0,TD-OPT,,981.8984140895035,90.34186271753299,4,2,3,14,0
base_N8,8,5,45.0,SP-FF,,1213.796604831678,385.9269015189221,7,6,5,14,
base_N8,8,5,45.0,SP-STATIC,,1213.796604831678,385.9269015189221,7,6,5,14,
base_N8,8,5,45.0,GREEDY,,1213.796604831678,264.6385452482502,6,2,2,14,
base_N8,8,5,45.0,TD-OPT,,1077.5012009735815,144.15216937294173,6,5,4,14,0
base_N8,8,5,60.0,SP-FF,,1198.796604831678,370.9269015189221,6,6,5,14,
base_N8,8,5,60.0,SP-STATIC,,1198.796604831678,370.9269015189221,6,6,5,14,
base_N8,8,5,60.0,GREEDY,,1318.796604831678,359.85511319715243,9,2,2,14,
base_N8,8,5,60.0,TD-OPT,,1062.5012009735815,129.15216937294173,5,5,4,14,0
base_N8,8,5,75.0,SP-FF,,1183.796604831678,355.9269015189221,5,6,5,14,
base_N8,8,5,75.0,SP-STATIC,,1183.796604831678,355.9269015189221,5,6,5,14,
base_N8,8,5,75.0,GREEDY,,1303.796604831678,344.85511319715243,9,2,2,14,
base_N8,8,5,75.0,TD-OPT,,1047.5012009735815,114.15216937294173,4,5,4,14,0
base_N8,8,5,90.0,SP-FF,,1168.796604831678,340.9269015189221,5,6,5,14,
